Country,"2 013,00","2 014,00","2 015,00","2 016,00","2 017,00","2 018,00","2 019,00","2 020,00","2 021,00","2 022,00","2 023,00"
Cap-Vert (Iles du),"99,00","97,00","98,00","106,00","101,00","108,00","105,00","112,00","108,00","106,00","111,00"
Centrafricaine (Rép.),"25,00","25,00","23,00","23,00","24,00","23,00","22,00","22,00","21,00","24,00","21,00"
Comores,( ),( ),( ),( ),( ),"9,00","9,00","10,00","10,00","9,00","11,00"
Côte-d'Ivoire,"571,00","570,00","565,00","555,00","559,00","559,00","566,00","580,00","571,00","570,00","593,00"
Djibouti (Rép. de),"17,00","16,00","18,00","18,00","14,00","7,00",( ),( ),( ),"6,00","6,00"
Egypte,"740,00","752,00","767,00","746,00","757,00","721,00","709,00","715,00","693,00","679,00","667,00"
Erythrée,"1 052,00","1 387,00","1 815,00","1 948,00","2 065,00","2 094,00","2 142,00","2 215,00","2 278,00","2 348,00","2 435,00"
Ethiopie,"690,00","731,00","731,00","706,00","693,00","654,00","643,00","665,00","688,00","694,00","727,00"
Gabon,"60,00","63,00","75,00","70,00","63,00","63,00","63,00","73,00","77,00","72,00","76,00"
Gambie,"127,00","125,00","128,00","122,00","123,00","118,00","116,00","121,00","127,00","143,00","151,00"
Ghana,"358,00","369,00","353,00","334,00","319,00","301,00","300,00","300,00","309,00","309,00","322,00"
Guinée,"308,00","293,00","309,00","306,00","284,00","294,00","291,00","287,00","307,00","323,00","340,00"
Guinée-Bissau,"59,00","47,00","31,00","22,00","21,00","27,00","26,00","25,00","23,00","29,00","38,00"
Guinée-Equatoriale,"10,00","11,00","10,00","9,00","9,00",( ),"13,00","25,00","18,00","20,00","36,00"
Kenya,"432,00","440,00","450,00","448,00","453,00","450,00","475,00","483,00","498,00","494,00","543,00"
Lesotho,"21,00","15,00","17,00","17,00","23,00","23,00","28,00","27,00","27,00","31,00","29,00"
Libéria,"35,00","27,00","28,00","27,00","23,00","24,00","24,00","25,00","25,00","28,00","27,00"
Libye,"171,00","190,00","224,00","230,00","212,00","225,00","238,00","239,00","230,00","225,00","224,00"
Madagascar,"276,00","287,00","261,00","251,00","246,00","240,00","234,00","240,00","257,00","269,00","282,00"
Malawi,"51,00","50,00","65,00","55,00","64,00","61,00","56,00","57,00","54,00","58,00","75,00"
Mali,"175,00","168,00","151,00","136,00","127,00","130,00","124,00","125,00","135,00","134,00","138,00"
Maroc,"1 938,00","1 930,00","1 850,00","1 801,00","1 809,00","1 771,00","1 764,00","1 766,00","1 792,00","1 840,00","1 883,00"
Maurice (Ile),"233,00","245,00","227,00","211,00","197,00","198,00","198,00","191,00","191,00","195,00","193,00"
Mauritanie,"53,00","49,00","43,00","39,00","38,00","35,00","31,00","30,00","21,00","23,00","28,00"
Mozambique,"33,00","46,00","43,00","46,00","43,00","42,00","39,00","39,00","41,00","41,00","37,00"
Namibie,"36,00","40,00","32,00","32,00","30,00","30,00","30,00","37,00","37,00","34,00","28,00"
Niger,"59,00","52,00","61,00","52,00","46,00","41,00","39,00","40,00","39,00","41,00","47,00"
